store_id,store_name,city,order_id,order_date,order_time,dep_name,sub_category,brand_name,qty,total_amount
ST1008,Brigade_Bangalore,Bangalore,104363838,10-04-2026,16:55:36,bath-and-body,Body Wash & Shower Gel,DERMDOC,1,274.36
ST1008,Brigade_Bangalore,Bangalore,104377545,10-04-2026,19:21:55,skin,Sheet Mask,Good Vibes,2,99
ST1008,Brigade_Bangalore,Bangalore,104362899,10-04-2026,16:45:32,makeup,Concealer and Colour Corrector,Faces Canada,1,553.17
ST1008,Brigade_Bangalore,Bangalore,104373042,10-04-2026,18:41:51,skin,Toner,Round Lab,1,1448.18
ST1008,Brigade_Bangalore,Bangalore,104375288,10-04-2026,19:02:09,makeup,Lipstick,Faces Canada,1,466.67
ST1008,Brigade_Bangalore,Bangalore,104346717,10-04-2026,13:41:55,skin,Sheet Mask,Good Vibes,1,49.5
ST1008,Brigade_Bangalore,Bangalore,104380754,10-04-2026,19:54:02,skin,Sheet Mask,Good Vibes,4,198
ST1008,Brigade_Bangalore,Bangalore,104341290,10-04-2026,12:42:18,personal-care,Manicure & Pedicure Kit,Purplle,1,1
ST1008,Brigade_Bangalore,Bangalore,104373042,10-04-2026,18:41:51,makeup,Makeup Bag & Organizer,Purplle,1,0.8
ST1008,Brigade_Bangalore,Bangalore,104369411,10-04-2026,17:55:02,makeup,Blush,NY Bae,1,215.67
ST1008,Brigade_Bangalore,Bangalore,104338647,10-04-2026,12:15:05,makeup,Lip Gloss,Faces Canada,1,302.33
ST1008,Brigade_Bangalore,Bangalore,104341290,10-04-2026,12:42:18,makeup,Lip Liner,Faces Canada,1,397.38
ST1008,Brigade_Bangalore,Bangalore,104346717,10-04-2026,13:41:55,skin,Sheet Mask,Good Vibes,1,49.5
ST1008,Brigade_Bangalore,Bangalore,104347785,10-04-2026,13:55:16,bath-and-body,Body & Massage Oil,Purplle,1,0
ST1008,Brigade_Bangalore,Bangalore,104383803,10-04-2026,20:25:04,makeup,Blush,NY Bae,1,224.31
ST1008,Brigade_Bangalore,Bangalore,104377545,10-04-2026,19:21:55,makeup,Beauty Blender and Sponge,CUFFS N LASHES,1,299.39
ST1008,Brigade_Bangalore,Bangalore,104341290,10-04-2026,12:42:18,skin,Lip Balm,Renee,1,199
ST1008,Brigade_Bangalore,Bangalore,104378732,10-04-2026,19:33:52,personal-care,Face & Eyebrow Razor,Carmesi,1,249
ST1008,Brigade_Bangalore,Bangalore,104341290,10-04-2026,12:42:18,makeup,Lipstick,Faces Canada,1,614.54
ST1008,Brigade_Bangalore,Bangalore,104350137,10-04-2026,14:23:21,makeup,Kajal,Faces Canada,1,225
ST1008,Brigade_Bangalore,Bangalore,104363838,10-04-2026,16:55:36,hair,Hair Mask,Alps Goodness,1,181.76
ST1008,Brigade_Bangalore,Bangalore,104359750,10-04-2026,16:08:03,makeup,Concealer and Colour Corrector,Maybelline,1,799
ST1008,Brigade_Bangalore,Bangalore,104362899,10-04-2026,16:45:32,bath-and-body,Body & Massage Oil,Purplle,1,0
ST1008,Brigade_Bangalore,Bangalore,104341290,10-04-2026,12:42:18,makeup,Setting spray  powder & fixer,Faces Canada,1,469.77
ST1008,Brigade_Bangalore,Bangalore,104379480,10-04-2026,19:41:29,makeup,Lipstick,Swiss Beauty,1,450
ST1008,Brigade_Bangalore,Bangalore,104362899,10-04-2026,16:45:32,makeup,Foundation,Faces Canada,1,691.64
ST1008,Brigade_Bangalore,Bangalore,104383803,10-04-2026,20:25:04,makeup,Lipstick,NY Bae,1,224.31
ST1008,Brigade_Bangalore,Bangalore,104370397,10-04-2026,18:07:14,makeup,Lipstick,Lakme,1,495
