store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_SIM_359b3a_00001,2026-05-30T15:31:06Z,3226.0
STORE_BLR_002,TXN_SIM_359b3a_00002,2026-05-30T15:33:55Z,2990.68
STORE_BLR_002,TXN_SIM_359b3a_00003,2026-05-30T15:52:09Z,307.3
STORE_BLR_002,TXN_SIM_359b3a_00004,2026-05-30T16:02:09Z,4773.87
STORE_BLR_002,TXN_SIM_359b3a_00005,2026-05-30T16:05:56Z,536.51
STORE_BLR_002,TXN_SIM_359b3a_00006,2026-05-30T16:12:51Z,3838.09
STORE_BLR_002,TXN_SIM_359b3a_00007,2026-05-30T16:17:28Z,1158.61
STORE_BLR_002,TXN_SIM_359b3a_00008,2026-05-30T16:35:10Z,3353.89
STORE_BLR_002,TXN_SIM_359b3a_00009,2026-05-30T16:40:18Z,3378.88
STORE_BLR_002,TXN_SIM_359b3a_00010,2026-05-30T16:50:43Z,4231.0
STORE_BLR_002,TXN_SIM_359b3a_00011,2026-05-30T16:57:58Z,1826.76
STORE_BLR_002,TXN_SIM_359b3a_00012,2026-05-30T17:16:57Z,376.36
STORE_BLR_002,TXN_SIM_359b3a_00013,2026-05-30T17:19:28Z,4914.71
STORE_BLR_002,TXN_SIM_359b3a_00014,2026-05-30T17:23:12Z,2404.37
STORE_BLR_002,TXN_SIM_359b3a_00015,2026-05-30T17:29:25Z,2621.73
STORE_BLR_002,TXN_SIM_359b3a_00016,2026-05-30T17:34:32Z,3867.69
STORE_BLR_002,TXN_SIM_359b3a_00017,2026-05-30T17:42:55Z,4210.94
STORE_BLR_002,TXN_SIM_359b3a_00018,2026-05-30T17:51:13Z,2569.95
STORE_BLR_002,TXN_SIM_359b3a_00019,2026-05-30T17:58:12Z,2435.31
STORE_BLR_002,TXN_SIM_359b3a_00020,2026-05-30T18:06:48Z,1756.83
STORE_BLR_002,TXN_SIM_359b3a_00021,2026-05-30T18:20:21Z,1018.66
STORE_BLR_002,TXN_SIM_359b3a_00022,2026-05-30T18:23:41Z,2373.33
STORE_BLR_002,TXN_SIM_359b3a_00023,2026-05-30T18:28:05Z,2036.62
STORE_BLR_002,TXN_SIM_359b3a_00024,2026-05-30T18:30:24Z,809.79
STORE_BLR_002,TXN_SIM_359b3a_00025,2026-05-30T18:38:59Z,607.02
STORE_BLR_002,TXN_SIM_359b3a_00026,2026-05-30T18:43:13Z,339.55
STORE_BLR_002,TXN_SIM_359b3a_00027,2026-05-30T18:58:46Z,2200.74
